ID,protocol id,series_ref,quarter,expenditures,groups,index,quarterly,annually,year
0,All households,HPIQ.SALL01,1,Food,group,1034,1.3,1.2,2019
1,All households,HPIQ.SALL01,2,Food,group,1038,0.4,1.0,2019
2,All households,HPIQ.SALL01,3,Food,group,1052,1.3,1.6,2019
3,All households,HPIQ.SALL01,4,Food,group,1047,-0.5,2.5,2019
4,All households,HPIQ.SALL01,1,Food,group,1068,2.0,3.3,2020
5,All households,HPIQ.SALL01,2,Food,group,1077,0.8,3.8,2020
6,All households,HPIQ.SALL01,3,Food,group,1090,1.2,3.6,2020
7,All households,HPIQ.SALL01,4,Food,group,1072,-1.7,2.4,2020
8,All households,HPIQ.SALL01,1,Food,group,1077,0.5,0.8,2021
9,All households,HPIQ.SALL01,2,Food,group,1093,1.5,1.5,2021
10,All households,HPIQ.SALL01,3,Food,group,1123,2.7,3.0,2021
11,All households,HPIQ.SALL01,4,Food,group,1116,-0.6,4.1,2021
12,All households,HPIQ.SALL01,1,Food,group,1152,3.2,7.0,2022
13,All households,HPIQ.SALL01,2,Food,group,1166,1.2,6.7,2022
14,All households,HPIQ.SALL01,3,Food,group,1214,4.1,8.1,2022
15,All households,HPIQ.SALL011,1,Fruit and vegetables,subgroup,1048,5.6,-2.3,2019
16,All households,HPIQ.SALL011,2,Fruit and vegetables,subgroup,1046,-0.2,-4.7,2019
17,All households,HPIQ.SALL011,3,Fruit and vegetables,subgroup,1064,1.7,-5.1,2019
18,All households,HPIQ.SALL011,4,Fruit and vegetables,subgroup,1005,-5.5,1.3,2019
19,All households,HPIQ.SALL011,1,Fruit and vegetables,subgroup,1050,4.5,0.2,2020
20,All households,HPIQ.SALL011,2,Fruit and vegetables,subgroup,1094,4.2,4.6,2020
21,All households,HPIQ.SALL011,3,Fruit and vegetables,subgroup,1217,11.2,14.4,2020
22,All households,HPIQ.SALL011,4,Fruit and vegetables,subgroup,1081,-11.2,7.6,2020
23,All households,HPIQ.SALL011,1,Fruit and vegetables,subgroup,1084,0.3,3.2,2021
24,All households,HPIQ.SALL011,2,Fruit and vegetables,subgroup,1155,6.5,5.6,2021
25,All households,HPIQ.SALL011,3,Fruit and vegetables,subgroup,1281,10.9,5.3,2021
26,All households,HPIQ.SALL011,4,Fruit and vegetables,subgroup,1156,-9.8,6.9,2021
