protocol id,series_ref,quarter,expenditures,groups,index,quarterly,annually,year,ID
All households,HPIQ.SALL01,1,Food,group,1034,1.3,1.2,2019,39
All households,HPIQ.SALL01,2,Food,group,1038,0.4,1,2019,40
All households,HPIQ.SALL01,3,Food,group,1052,1.3,1.6,2019,41
All households,HPIQ.SALL01,4,Food,group,1047,-0.5,2.5,2019,42
All households,HPIQ.SALL011,1,Fruit and vegetables,subgroup,1048,5.6,-2.3,2019,93
All households,HPIQ.SALL011,2,Fruit and vegetables,subgroup,1046,-0.2,-4.7,2019,94
All households,HPIQ.SALL011,3,Fruit and vegetables,subgroup,1064,1.7,-5.1,2019,95
All households,HPIQ.SALL011,4,Fruit and vegetables,subgroup,1005,-5.5,1.3,2019,96
All households,HPIQ.SALL012,1,"Meat, poultry and fish",subgroup,1021,-0.2,2.1,2019,147
All households,HPIQ.SALL012,2,"Meat, poultry and fish",subgroup,1023,0.2,2.6,2019,148
All households,HPIQ.SALL012,3,"Meat, poultry and fish",subgroup,1058,3.4,6.3,2019,149
All households,HPIQ.SALL012,4,"Meat, poultry and fish",subgroup,1072,1.3,4.8,2019,150
All households,HPIQ.SALL013,1,Grocery food,subgroup,998,0.7,0.9,2019,201
All households,HPIQ.SALL013,2,Grocery food,subgroup,1000,0.2,1.6,2019,202
All households,HPIQ.SALL013,3,Grocery food,subgroup,1006,0.6,1.9,2019,203
All households,HPIQ.SALL013,4,Grocery food,subgroup,1008,0.2,1.7,2019,204
All households,HPIQ.SALL014,1,Non-alcoholic beverages,subgroup,1027,1.2,1.5,2019,255
All households,HPIQ.SALL014,2,Non-alcoholic beverages,subgroup,1033,0.6,-0.2,2019,256
All households,HPIQ.SALL014,3,Non-alcoholic beverages,subgroup,1050,1.6,0.9,2019,257
All households,HPIQ.SALL014,4,Non-alcoholic beverages,subgroup,1035,-1.4,2,2019,258
All households,HPIQ.SALL015,1,Restaurant meals and ready-to-eat food,subgroup,1110,0.5,2.9,2019,309
All households,HPIQ.SALL015,2,Restaurant meals and ready-to-eat food,subgroup,1126,1.4,3.3,2019,310
All households,HPIQ.SALL015,3,Restaurant meals and ready-to-eat food,subgroup,1133,0.6,3.2,2019,311
All households,HPIQ.SALL015,4,Restaurant meals and ready-to-eat food,subgroup,1141,0.7,3.4,2019,312
All households,HPIQ.SALL02,1,Alcoholic beverages and tobacco,group,1248,5,4.5,2019,363
All households,HPIQ.SALL02,2,Alcoholic beverages and tobacco,group,1253,0.4,3.6,2019,364
All households,HPIQ.SALL02,3,Alcoholic beverages and tobacco,group,1255,0.2,4,2019,365
All households,HPIQ.SALL02,4,Alcoholic beverages and tobacco,group,1249,-0.5,5,2019,366
All households,HPIQ.SALL021,1,Alcoholic beverages,subgroup,1036,2.1,2.2,2019,417
All households,HPIQ.SALL021,2,Alcoholic beverages,subgroup,1043,0.7,0.8,2019,418
All households,HPIQ.SALL021,3,Alcoholic beverages,subgroup,1047,0.4,1.4,2019,419
All households,HPIQ.SALL021,4,Alcoholic beverages,subgroup,1038,-0.9,2.3,2019,420
All households,HPIQ.SALL022,1,Cigarettes and tobacco,subgroup,1630,9,7.6,2019,471
All households,HPIQ.SALL022,2,Cigarettes and tobacco,subgroup,1631,0.1,7.5,2019,472
All households,HPIQ.SALL022,3,Cigarettes and tobacco,subgroup,1632,0.1,7.7,2019,473
All households,HPIQ.SALL022,4,Cigarettes and tobacco,subgroup,1632,0,9.1,2019,474
All households,HPIQ.SALL03,1,Clothing and footwear,group,998,0.3,-0.3,2019,525
All households,HPIQ.SALL03,2,Clothing and footwear,group,1006,0.8,-0.2,2019,526
All households,HPIQ.SALL03,3,Clothing and footwear,group,999,-0.7,-0.9,2019,527
All households,HPIQ.SALL03,4,Clothing and footwear,group,1009,1,1.4,2019,528
All households,HPIQ.SALL031,1,Clothing,subgroup,991,0.4,-1.2,2019,579
All households,HPIQ.SALL031,2,Clothing,subgroup,999,0.8,-0.2,2019,580
All households,HPIQ.SALL031,3,Clothing,subgroup,993,-0.6,-1,2019,581
All households,HPIQ.SALL031,4,Clothing,subgroup,1005,1.2,1.8,2019,582
All households,HPIQ.SALL032,1,Footwear,subgroup,1028,-0.3,3.6,2019,633
All households,HPIQ.SALL032,2,Footwear,subgroup,1036,0.8,-0.2,2019,634
All households,HPIQ.SALL032,3,Footwear,subgroup,1025,-1.1,-0.4,2019,635
All households,HPIQ.SALL032,4,Footwear,subgroup,1026,0.1,-0.5,2019,636
All households,HPIQ.SALL04,1,Housing and household utilities,group,1124,0.5,2.9,2019,687
All households,HPIQ.SALL04,2,Housing and household utilities,group,1132,0.7,2.8,2019,688
All households,HPIQ.SALL04,3,Housing and household utilities,group,1148,1.4,3.1,2019,689
All households,HPIQ.SALL04,4,Housing and household utilities,group,1154,0.5,3.2,2019,690
All households,HPIQ.SALL041,1,Actual rentals for housing,subgroup,1110,0.5,2.3,2019,741
All households,HPIQ.SALL041,2,Actual rentals for housing,subgroup,1122,1.1,2.7,2019,742
All households,HPIQ.SALL041,3,Actual rentals for housing,subgroup,1131,0.8,3.1,2019,743
All households,HPIQ.SALL041,4,Actual rentals for housing,subgroup,1141,0.9,3.4,2019,744
All households,HPIQ.SALL04101,1,Actual rentals for housing,class,1110,0.5,2.3,2019,795
All households,HPIQ.SALL04101,2,Actual rentals for housing,class,1122,1.1,2.7,2019,796
All households,HPIQ.SALL04101,3,Actual rentals for housing,class,1131,0.8,3.1,2019,797
All households,HPIQ.SALL04101,4,Actual rentals for housing,class,1141,0.9,3.4,2019,798
All households,HPIQ.SALL043,1,Property maintenance,subgroup,1138,0.3,2.2,2019,849
All households,HPIQ.SALL043,2,Property maintenance,subgroup,1146,0.7,2.3,2019,850
All households,HPIQ.SALL043,3,Property maintenance,subgroup,1157,1,2.6,2019,851
All households,HPIQ.SALL043,4,Property maintenance,subgroup,1163,0.5,2.5,2019,852
All households,HPIQ.SALL044,1,Property rates and related services,subgroup,1220,0,4.7,2019,903
All households,HPIQ.SALL044,2,Property rates and related services,subgroup,1221,0.1,4.8,2019,904
All households,HPIQ.SALL044,3,Property rates and related services,subgroup,1281,4.9,5.1,2019,905
All households,HPIQ.SALL044,4,Property rates and related services,subgroup,1281,0,5,2019,906
All households,HPIQ.SALL04403,1,Local authority rates and payments,class,1240,0,5.2,2019,957
All households,HPIQ.SALL04403,2,Local authority rates and payments,class,1240,0,5.2,2019,958
All households,HPIQ.SALL04403,3,Local authority rates and payments,class,1301,4.9,4.9,2019,959
All households,HPIQ.SALL04403,4,Local authority rates and payments,class,1301,0,4.9,2019,960
All households,HPIQ.SALL045,1,Household energy,subgroup,1079,1.2,2.7,2019,1011
All households,HPIQ.SALL045,2,Household energy,subgroup,1085,0.6,1.6,2019,1012
All households,HPIQ.SALL045,3,Household energy,subgroup,1083,-0.2,1.5,2019,1013
All households,HPIQ.SALL045,4,Household energy,subgroup,1084,0.1,1.7,2019,1014
All households,HPIQ.SALL04501,1,Electricity,class,1075,1.2,2.6,2019,1065
All households,HPIQ.SALL04501,2,Electricity,class,1080,0.5,1.4,2019,1066
All households,HPIQ.SALL04501,3,Electricity,class,1078,-0.2,1.3,2019,1067
All households,HPIQ.SALL04501,4,Electricity,class,1076,-0.2,1.3,2019,1068
All households,HPIQ.SALL05,1,Household contents and services,group,992,-0.9,-1,2019,1119
All households,HPIQ.SALL05,2,Household contents and services,group,1017,2.5,1.6,2019,1120
All households,HPIQ.SALL05,3,Household contents and services,group,1017,0,0.7,2019,1121
All households,HPIQ.SALL05,4,Household contents and services,group,1018,0.1,1.7,2019,1122
All households,HPIQ.SALL051,1,"Furniture, furnishings and floor coverings",subgroup,1005,-5.8,-3.8,2019,1173
All households,HPIQ.SALL051,2,"Furniture, furnishings and floor coverings",subgroup,1041,3.6,1.2,2019,1174
All households,HPIQ.SALL051,3,"Furniture, furnishings and floor coverings",subgroup,1044,0.3,0.1,2019,1175
All households,HPIQ.SALL051,4,"Furniture, furnishings and floor coverings",subgroup,1045,0.1,-2.1,2019,1176
All households,HPIQ.SALL052,1,Household textiles,subgroup,964,-3.8,-5.7,2019,1227
All households,HPIQ.SALL052,2,Household textiles,subgroup,1016,5.4,1.4,2019,1228
All households,HPIQ.SALL052,3,Household textiles,subgroup,1032,1.6,0.1,2019,1229
All households,HPIQ.SALL052,4,Household textiles,subgroup,1023,-0.9,2.1,2019,1230
All households,HPIQ.SALL053,1,Household appliances,subgroup,999,2.7,1.8,2019,1281
All households,HPIQ.SALL053,2,Household appliances,subgroup,1029,3,3.8,2019,1282
All households,HPIQ.SALL053,3,Household appliances,subgroup,1020,-0.9,3,2019,1283
All households,HPIQ.SALL053,4,Household appliances,subgroup,1024,0.4,5.2,2019,1284
All households,HPIQ.SALL054,1,"Glassware, tableware and household utensils",subgroup,967,3.1,0.6,2019,1335
All households,HPIQ.SALL054,2,"Glassware, tableware and household utensils",subgroup,984,1.8,-0.5,2019,1336
All households,HPIQ.SALL054,3,"Glassware, tableware and household utensils",subgroup,985,0.1,-1.8,2019,1337
All households,HPIQ.SALL054,4,"Glassware, tableware and household utensils",subgroup,982,-0.3,4.7,2019,1338
All households,HPIQ.SALL055,1,Tools and equipment for house and garden,subgroup,988,2.2,-0.9,2019,1389
All households,HPIQ.SALL055,2,Tools and equipment for house and garden,subgroup,984,-0.4,-0.5,2019,1390
All households,HPIQ.SALL055,3,Tools and equipment for house and garden,subgroup,987,0.3,0.9,2019,1391
All households,HPIQ.SALL055,4,Tools and equipment for house and garden,subgroup,988,0.1,2.2,2019,1392
All households,HPIQ.SALL056,1,Other household supplies and services,subgroup,986,-0.8,0.9,2019,1443
All households,HPIQ.SALL056,2,Other household supplies and services,subgroup,1005,1.9,2.2,2019,1444
All households,HPIQ.SALL056,3,Other household supplies and services,subgroup,999,-0.6,-0.3,2019,1445
All households,HPIQ.SALL056,4,Other household supplies and services,subgroup,1002,0.3,0.8,2019,1446
All households,HPIQ.SALL06,1,Health,group,1047,-0.4,0.2,2019,1497
