year,expenditures,protocol_id,index
2019,Household appliances,Expenditure,1020
2019,Household appliances,Expenditure,988
2019,Household textiles,Expenditure,1022
2019,Audio-visual and computing equipment,Expenditure,604
2019,Recreation and culture,Expenditure,1028
2019,Recreation and culture,Expenditure,1015
2019,Recreation and culture,Expenditure,1006
2019,Recreation and culture,Expenditure,1013
2019,Telecommunication services,Expenditure,879
2019,Telecommunication services,Expenditure,894
2019,"Furniture, furnishings and floor coverings",Expenditure,1022
2019,"Furniture, furnishings and floor coverings",Expenditure,1071
2019,"Furniture, furnishings and floor coverings",Expenditure,1077
2019,"Furniture, furnishings and floor coverings",Expenditure,1060
2019,Household textiles,Expenditure,1029
2019,Household textiles,Expenditure,924
2019,Household textiles,Expenditure,977
2019,Household textiles,Expenditure,1018
2019,Telecommunication services,Expenditure,902
2019,Telecommunication services,Expenditure,900
2019,Telecommunication equipment,Expenditure,360
2019,Telecommunication equipment,Expenditure,361
2019,Telecommunication equipment,Expenditure,372
2019,Telecommunication equipment,Expenditure,412
2019,Postal services,Expenditure,1227
2019,Household textiles,Expenditure,979
2019,Household textiles,Expenditure,1023
2019,Household textiles,Expenditure,1043
2019,Household textiles,Expenditure,1043
2019,Household textiles,Expenditure,963
2019,Tertiary and other post school education,Expenditure,914
2019,Alcoholic beverages and tobacco,Expenditure,1352
2019,Alcoholic beverages and tobacco,Expenditure,1356
2019,Postal services,Expenditure,1228
2019,Postal services,Expenditure,1215
2019,Postal services,Expenditure,1212
2019,Communication,Expenditure,834
2019,Communication,Expenditure,847
2019,Communication,Expenditure,856
2019,Communication,Expenditure,861
2019,Household appliances,Expenditure,993
2019,Household appliances,Expenditure,1021
2019,Household appliances,Expenditure,1017
2019,Household appliances,Expenditure,1006
2019,Alcoholic beverages and tobacco,Expenditure,1359
2019,Household textiles,Expenditure,1021
2019,Household textiles,Expenditure,958
2019,"Furniture, furnishings and floor coverings",Expenditure,1049
2019,Passenger transport services,Expenditure,1007
2019,Passenger transport services,Expenditure,930
2019,Passenger transport services,Expenditure,892
2019,Passenger transport services,Expenditure,942
2019,Petrol,Expenditure,1023
2019,Petrol,Expenditure,1007
2019,Petrol,Expenditure,1015
2019,"Glassware, tableware and household utensils",Expenditure,944
2019,"Glassware, tableware and household utensils",Expenditure,986
2019,"Glassware, tableware and household utensils",Expenditure,988
2019,"Glassware, tableware and household utensils",Expenditure,975
2019,"Furniture, furnishings and floor coverings",Expenditure,1041
2019,"Furniture, furnishings and floor coverings",Expenditure,1047
2019,"Furniture, furnishings and floor coverings",Expenditure,1017
2019,Household contents and services,Expenditure,1029
2019,Petrol,Expenditure,959
2019,Private transport supplies and services,Expenditure,981
2019,Private transport supplies and services,Expenditure,970
2019,Private transport supplies and services,Expenditure,969
2019,Private transport supplies and services,Expenditure,928
2019,Purchase of vehicles,Expenditure,950
2019,Purchase of vehicles,Expenditure,957
2019,Tools and equipment for house and garden,Expenditure,980
2019,Tools and equipment for house and garden,Expenditure,978
2019,Tools and equipment for house and garden,Expenditure,982
2019,Tools and equipment for house and garden,Expenditure,978
2019,Household appliances,Expenditure,1018
2019,Household appliances,Expenditure,1045
2019,Household appliances,Expenditure,1041
2019,Household appliances,Expenditure,1031
2019,Purchase of vehicles,Expenditure,954
2019,Purchase of vehicles,Expenditure,984
2019,Transport,Expenditure,963
2019,Transport,Expenditure,947
2019,Transport,Expenditure,940
2019,Transport,Expenditure,931
2019,Hospital services,Expenditure,1198
2019,Other household supplies and services,Expenditure,960
2019,Other household supplies and services,Expenditure,982
2019,Other household supplies and services,Expenditure,976
2019,Other household supplies and services,Expenditure,974
2019,Alcoholic beverages and tobacco,Expenditure,1352
2019,Interest payments,Expenditure,1119
2019,Interest payments,Expenditure,1149
2019,Interest payments,Expenditure,1165
2019,Hospital services,Expenditure,1185
2019,Hospital services,Expenditure,1158
2019,Hospital services,Expenditure,1155
2019,Out-patient services,Expenditure,1088
2019,Out-patient services,Expenditure,1081
2019,Out-patient services,Expenditure,1074
2019,Out-patient services,Expenditure,1072
2019,Health,Expenditure,1038
2019,Health,Expenditure,1044
2019,Health,Expenditure,1046
2019,Health,Expenditure,1053
2019,Household contents and services,Expenditure,1023
2019,Household contents and services,Expenditure,1025
2019,Household contents and services,Expenditure,1005
2019,Electricity,Expenditure,1072
2019,"Medical products, appliances and equipment",Expenditure,1000
2019,"Medical products, appliances and equipment",Expenditure,991
2019,"Medical products, appliances and equipment",Expenditure,998
2019,"Medical products, appliances and equipment",Expenditure,987
2019,Health,Expenditure,1061
2019,Health,Expenditure,1053
2019,Health,Expenditure,1052
2019,"Medical products, appliances and equipment",Expenditure,983
2019,"Medical products, appliances and equipment",Expenditure,996
2019,"Medical products, appliances and equipment",Expenditure,988
2019,"Medical products, appliances and equipment",Expenditure,994
2019,Electricity,Expenditure,1074
2019,Electricity,Expenditure,1076
2019,Electricity,Expenditure,1071
2019,"Glassware, tableware and household utensils",Expenditure,955
2019,Health,Expenditure,1046
2019,Other household supplies and services,Expenditure,1005
2019,Other household supplies and services,Expenditure,1002
2019,Other household supplies and services,Expenditure,1011
2019,Other household supplies and services,Expenditure,993
2019,Tools and equipment for house and garden,Expenditure,998
2019,Tools and equipment for house and garden,Expenditure,996
2019,Out-patient services,Expenditure,1053
2019,Out-patient services,Expenditure,1055
2019,Out-patient services,Expenditure,1062
2019,Out-patient services,Expenditure,1070
2019,"Glassware, tableware and household utensils",Expenditure,984
2019,"Glassware, tableware and household utensils",Expenditure,994
2019,"Glassware, tableware and household utensils",Expenditure,966
2019,Other miscellaneous services,Expenditure,1172
2019,Tools and equipment for house and garden,Expenditure,991
2019,Tools and equipment for house and garden,Expenditure,992
2019,"Glassware, tableware and household utensils",Expenditure,954
2019,"Glassware, tableware and household utensils",Expenditure,964
2019,"Glassware, tableware and household utensils",Expenditure,964
2019,"Glassware, tableware and household utensils",Expenditure,929
2019,Household appliances,Expenditure,1038
2019,Hospital services,Expenditure,1150
2019,Hospital services,Expenditure,1153
2019,Hospital services,Expenditure,1171
2019,Hospital services,Expenditure,1181
2019,Tertiary and other post school education,Expenditure,914
2019,Tertiary and other post school education,Expenditure,914
2019,Primary and secondary education,Expenditure,1175
2019,Household energy,Expenditure,1084
2019,Household appliances,Expenditure,1032
2019,Household appliances,Expenditure,1038
2019,Household appliances,Expenditure,1004
2019,Household textiles,Expenditure,1012
2019,Household textiles,Expenditure,1032
2019,Household textiles,Expenditure,1011
2019,Household textiles,Expenditure,961
2019,Transport,Expenditure,909
2019,Transport,Expenditure,926
2019,Transport,Expenditure,932
2019,Transport,Expenditure,948
2019,Household energy,Expenditure,1081
2019,Household energy,Expenditure,1083
2019,Household energy,Expenditure,1077
2019,Local authority rates and payments,Expenditure,1297
2019,"Furniture, furnishings and floor coverings",Expenditure,1050
2019,"Furniture, furnishings and floor coverings",Expenditure,1051
2019,"Furniture, furnishings and floor coverings",Expenditure,1055
2019,"Furniture, furnishings and floor coverings",Expenditure,1017
2019,Household contents and services,Expenditure,1021
2019,Household contents and services,Expenditure,1022
2019,Household contents and services,Expenditure,1023
2019,Purchase of vehicles,Expenditure,980
2019,Purchase of vehicles,Expenditure,949
2019,Purchase of vehicles,Expenditure,953
2019,Purchase of vehicles,Expenditure,946
2019,Local authority rates and payments,Expenditure,1297
2019,Local authority rates and payments,Expenditure,1239
2019,Tools and equipment for house and garden,Expenditure,980
2019,Tools and equipment for house and garden,Expenditure,978
2019,Household contents and services,Expenditure,996
2019,Electricity,Expenditure,1078
2019,Electricity,Expenditure,1079
2019,Electricity,Expenditure,1081
2019,Electricity,Expenditure,1077
2019,Household energy,Expenditure,1086
2019,Household energy,Expenditure,1085
2019,Private transport supplies and services,Expenditure,907
2019,Private transport supplies and services,Expenditure,948
2019,Private transport supplies and services,Expenditure,949
2019,Private transport supplies and services,Expenditure,959
2019,Tools and equipment for house and garden,Expenditure,974
2019,Tools and equipment for house and garden,Expenditure,973
2019,Primary and secondary education,Expenditure,1175
2019,Primary and secondary education,Expenditure,1175
2019,Household energy,Expenditure,1087
2019,Household energy,Expenditure,1080
2019,Local authority rates and payments,Expenditure,1300
2019,Local authority rates and payments,Expenditure,1300
2019,Local authority rates and payments,Expenditure,1240
2019,Local authority rates and payments,Expenditure,1240
2019,Property rates and related services,Expenditure,1278
2019,Petrol,Expenditure,952
2019,Petrol,Expenditure,1010
2019,Petrol,Expenditure,1001
2019,Petrol,Expenditure,1014
2019,Primary and secondary education,Expenditure,1175
2019,Early childhood education,Expenditure,1109
2019,Local authority rates and payments,Expenditure,1239
2019,Property rates and related services,Expenditure,1277
