ID,year
0,2019
1,2019
2,2019
3,2019
4,2020
5,2020
6,2020
7,2020
8,2021
9,2021
10,2021
11,2021
12,2022
13,2022
14,2022
15,2019
16,2019
17,2019
18,2019
19,2020
20,2020
21,2020
22,2020
23,2021
24,2021
25,2021
26,2021
27,2022
28,2022
29,2022
30,2019
31,2019
32,2019
33,2019
34,2020
35,2020
36,2020
37,2020
38,2021
39,2021
40,2021
41,2021
42,2022
43,2022
44,2022
45,2019
46,2019
47,2019
48,2019
49,2020
50,2020
51,2020
52,2020
53,2021
54,2021
55,2021
56,2021
57,2022
58,2022
59,2022
60,2019
61,2019
62,2019
63,2019
64,2020
65,2020
66,2020
67,2020
68,2021
69,2021
70,2021
71,2021
72,2022
73,2022
74,2022
75,2019
76,2019
77,2019
78,2019
79,2020
80,2020
81,2020
82,2020
83,2021
84,2021
85,2021
86,2021
87,2022
88,2022
89,2022
90,2019
91,2019
92,2019
93,2019
94,2020
95,2020
96,2020
97,2020
98,2021
99,2021
100,2021
101,2021
102,2022
103,2022
104,2022
105,2019
106,2019
107,2019
108,2019
109,2020
110,2020
111,2020
112,2020
113,2021
114,2021
115,2021
116,2021
117,2022
118,2022
119,2022
120,2019
121,2019
122,2019
123,2019
124,2020
125,2020
126,2020
127,2020
128,2021
129,2021
130,2021
131,2021
132,2022
133,2022
134,2022
135,2019
136,2019
137,2019
138,2019
139,2020
140,2020
141,2020
142,2020
143,2021
144,2021
145,2021
146,2021
147,2022
148,2022
149,2022
150,2019
151,2019
152,2019
153,2019
154,2020
155,2020
156,2020
157,2020
158,2021
159,2021
160,2021
161,2021
162,2022
163,2022
164,2022
165,2019
166,2019
167,2019
168,2019
169,2020
170,2020
171,2020
172,2020
173,2021
174,2021
175,2021
176,2021
177,2022
178,2022
179,2022
180,2019
181,2019
182,2019
183,2019
184,2020
185,2020
186,2020
187,2020
188,2021
189,2021
190,2021
191,2021
192,2022
193,2022
194,2022
195,2019
196,2019
197,2019
198,2019
199,2020
200,2020
201,2020
202,2020
203,2021
204,2021
205,2021
206,2021
207,2022
208,2022
209,2022
210,2019
211,2019
212,2019
213,2019
214,2020
215,2020
216,2020
217,2020
218,2021
219,2021
220,2021
221,2021
222,2022
223,2022
224,2022
225,2019
226,2019
227,2019
228,2019
229,2020
230,2020
231,2020
232,2020
233,2021
234,2021
235,2021
236,2021
237,2022
238,2022
239,2022
240,2019
241,2019
242,2019
243,2019
244,2020
245,2020
246,2020
247,2020
248,2021
249,2021
250,2021
251,2021
252,2022
253,2022
254,2022
255,2019
256,2019
257,2019
258,2019
259,2020
260,2020
261,2020
262,2020
263,2021
264,2021
265,2021
266,2021
267,2022
268,2022
269,2022
270,2019
271,2019
272,2019
273,2019
274,2020
275,2020
276,2020
277,2020
278,2021
279,2021
280,2021
281,2021
282,2022
283,2022
284,2022
285,2019
286,2019
287,2019
288,2019
289,2020
290,2020
291,2020
292,2020
293,2021
294,2021
295,2021
296,2021
297,2022
298,2022
299,2022
300,2019
301,2019
302,2019
303,2019
304,2020
305,2020
306,2020
307,2020
308,2021
309,2021
310,2021
311,2021
312,2022
313,2022
314,2022
315,2019
316,2019
317,2019
318,2019
319,2020
320,2020
321,2020
322,2020
323,2021
324,2021
325,2021
326,2021
327,2022
328,2022
329,2022
330,2019
331,2019
332,2019
333,2019
334,2020
335,2020
336,2020
337,2020
338,2021
339,2021
340,2021
341,2021
342,2022
343,2022
344,2022
345,2019
346,2019
347,2019
348,2019
349,2020
350,2020
351,2020
352,2020
353,2021
354,2021
355,2021
356,2021
357,2022
358,2022
359,2022
360,2019
361,2019
362,2019
363,2019
364,2020
365,2020
366,2020
367,2020
368,2021
369,2021
370,2021
371,2021
372,2022
373,2022
374,2022
375,2019
376,2019
377,2019
378,2019
379,2020
380,2020
381,2020
382,2020
383,2021
384,2021
385,2021
386,2021
387,2022
388,2022
389,2022
390,2019
391,2019
392,2019
393,2019
394,2020
395,2020
396,2020
397,2020
398,2021
399,2021
400,2021
401,2021
402,2022
403,2022
404,2022
405,2019
406,2019
407,2019
408,2019
409,2020
410,2020
411,2020
412,2020
413,2021
414,2021
415,2021
416,2021
417,2022
418,2022
419,2022
420,2019
421,2019
422,2019
423,2019
424,2020
425,2020
426,2020
427,2020
428,2021
429,2021
430,2021
431,2021
432,2022
433,2022
434,2022
435,2019
436,2019
437,2019
438,2019
439,2020
440,2020
441,2020
442,2020
443,2021
444,2021
445,2021
446,2021
447,2022
448,2022
449,2022
450,2019
451,2019
452,2019
453,2019
454,2020
455,2020
456,2020
457,2020
458,2021
459,2021
460,2021
461,2021
462,2022
463,2022
464,2022
465,2019
466,2019
467,2019
468,2019
469,2020
470,2020
471,2020
472,2020
473,2021
474,2021
475,2021
476,2021
477,2022
478,2022
479,2022
480,2019
481,2019
482,2019
483,2019
484,2020
485,2020
486,2020
487,2020
488,2021
489,2021
