index,quarterly,annually,year,ID
1034,1.3,1.2,2019,39
1038,0.4,1.0,2019,40
1052,1.3,1.6,2019,41
1047,-0.5,2.5,2019,42
1048,5.6,-2.3,2019,93
1046,-0.2,-4.7,2019,94
1064,1.7,-5.1,2019,95
1005,-5.5,1.3,2019,96
1021,-0.2,2.1,2019,147
1023,0.2,2.6,2019,148
1058,3.4,6.3,2019,149
1072,1.3,4.8,2019,150
998,0.7,0.9,2019,201
1000,0.2,1.6,2019,202
1006,0.6,1.9,2019,203
1008,0.2,1.7,2019,204
1027,1.2,1.5,2019,255
1033,0.6,-0.2,2019,256
1050,1.6,0.9,2019,257
1035,-1.4,2.0,2019,258
1110,0.5,2.9,2019,309
1126,1.4,3.3,2019,310
1133,0.6,3.2,2019,311
1141,0.7,3.4,2019,312
1248,5.0,4.5,2019,363
1253,0.4,3.6,2019,364
1255,0.2,4.0,2019,365
1249,-0.5,5.0,2019,366
1036,2.1,2.2,2019,417
1043,0.7,0.8,2019,418
1047,0.4,1.4,2019,419
1038,-0.9,2.3,2019,420
1630,9.0,7.6,2019,471
1631,0.1,7.5,2019,472
1632,0.1,7.7,2019,473
1632,0.0,9.1,2019,474
998,0.3,-0.3,2019,525
1006,0.8,-0.2,2019,526
999,-0.7,-0.9,2019,527
1009,1.0,1.4,2019,528
991,0.4,-1.2,2019,579
999,0.8,-0.2,2019,580
993,-0.6,-1.0,2019,581
1005,1.2,1.8,2019,582
1028,-0.3,3.6,2019,633
1036,0.8,-0.2,2019,634
1025,-1.1,-0.4,2019,635
1026,0.1,-0.5,2019,636
1124,0.5,2.9,2019,687
1132,0.7,2.8,2019,688
1148,1.4,3.1,2019,689
1154,0.5,3.2,2019,690
1110,0.5,2.3,2019,741
1122,1.1,2.7,2019,742
1131,0.8,3.1,2019,743
1141,0.9,3.4,2019,744
1110,0.5,2.3,2019,795
1122,1.1,2.7,2019,796
1131,0.8,3.1,2019,797
1141,0.9,3.4,2019,798
1138,0.3,2.2,2019,849
1146,0.7,2.3,2019,850
1157,1.0,2.6,2019,851
1163,0.5,2.5,2019,852
1220,0.0,4.7,2019,903
1221,0.1,4.8,2019,904
1281,4.9,5.1,2019,905
1281,0.0,5.0,2019,906
1240,0.0,5.2,2019,957
