id,year,expenditures,expenditure_amount,income_amount
119,2021,Accommodation services,28333,28722
120,2021,Actual rentals for housing,48422,48418
121,2021,Alcoholic beverages,21443,21402
122,2021,Alcoholic beverages and tobacco,27062,27092
123,2021,All groups,22253,22255
124,2021,Audio-visual and computing equipment,9351,9301
125,2021,Cigarettes and tobacco,37251,37253
126,2021,Clothing,20442,20403
127,2021,Clothing and footwear,20425,20392
128,2021,Communication,16337,16522
129,2021,Credit services,15658,15661
130,2021,Early childhood education,23398,23330
131,2021,Education,21188,21264
132,2021,Electricity,21668,21668
133,2021,Food,22062,22055
134,2021,Footwear,20335,20321
135,2021,Fruit and vegetables,23394,23398
136,2021,"Furniture, furnishings and floor coverings",21875,21845
137,2021,"Glassware, tableware and household utensils",20096,19889
138,2021,Grocery food,20791,20792
139,2021,Health,21897,21893
140,2021,Hospital services,24720,24647
141,2021,Household appliances,20906,20909
142,2021,Household contents and services,21012,21012
143,2021,Household energy,21858,21855
144,2021,Household textiles,20928,21031
145,2021,Housing and household utilities,24276,24273
146,2021,Insurance,26075,26076
147,2021,Interest payments,38652,38958
148,2021,Local authority rates and payments,27772,27774
149,2021,Major recreational and cultural equipment,22850,23058
150,2021,"Meat, poultry and fish",21660,21675
151,2021,"Medical products, appliances and equipment",19885,19886
152,2021,Miscellaneous goods and services,24332,24314
153,2021,"Newspapers, books and stationery",25876,25824
154,2021,Non-alcoholic beverages,21044,21037
155,2021,Other educational fees,21868,21872
156,2021,Other household supplies and services,20788,20833
157,2021,Other miscellaneous services,25014,25159
158,2021,Other recreational equipment and supplies,22402,22448
159,2021,Out-patient services,22863,22860
160,2021,Passenger transport services,21943,22031
161,2021,Personal care,20574,20566
162,2021,Personal effects,22631,22331
163,2021,Petrol,21156,21154
164,2021,Postal services,24986,24957
165,2021,Primary and secondary education,23152,23188
166,2021,Private transport supplies and services,20034,20023
167,2021,Property maintenance,24595,24642
168,2021,Property rates and related services,27314,27331
169,2021,Purchase of vehicles,20966,20736
170,2021,Recreation and culture,21092,21156
171,2021,Recreational and cultural services,21434,21449
172,2021,Restaurant meals and ready-to-eat food,24415,24414
173,2021,Telecommunication equipment,6909,6588
174,2021,Telecommunication services,17142,17314
175,2021,Tertiary and other post school education,18796,19044
176,2021,Tools and equipment for house and garden,20068,20047
177,2021,Transport,20086,20144
