ID,protocol id,expenditures,index,year
0,Expenditure,Food,1028,2019
1,Expenditure,Food,1029,2019
2,Expenditure,Food,1044,2019
3,Expenditure,Food,1042,2019
4,Expenditure,Food,1064,2020
5,Expenditure,Food,1072,2020
6,Expenditure,Food,1083,2020
7,Expenditure,Food,1064,2020
8,Expenditure,Food,1070,2021
9,Expenditure,Food,1084,2021
10,Expenditure,Food,1115,2021
11,Expenditure,Food,1109,2021
12,Expenditure,Food,1149,2022
13,Expenditure,Food,1161,2022
14,Expenditure,Food,1207,2022
15,Expenditure,Fruit and vegetables,1063,2019
16,Expenditure,Fruit and vegetables,1044,2019
17,Expenditure,Fruit and vegetables,1073,2019
18,Expenditure,Fruit and vegetables,1033,2019
19,Expenditure,Fruit and vegetables,1074,2020
20,Expenditure,Fruit and vegetables,1112,2020
21,Expenditure,Fruit and vegetables,1219,2020
22,Expenditure,Fruit and vegetables,1102,2020
23,Expenditure,Fruit and vegetables,1115,2021
24,Expenditure,Fruit and vegetables,1171,2021
25,Expenditure,Fruit and vegetables,1281,2021
26,Expenditure,Fruit and vegetables,1174,2021
27,Expenditure,Fruit and vegetables,1299,2022
28,Expenditure,Fruit and vegetables,1273,2022
29,Expenditure,Fruit and vegetables,1455,2022
30,Expenditure,"Meat, poultry and fish",1028,2019
31,Expenditure,"Meat, poultry and fish",1034,2019
32,Expenditure,"Meat, poultry and fish",1066,2019
33,Expenditure,"Meat, poultry and fish",1082,2019
34,Expenditure,"Meat, poultry and fish",1100,2020
35,Expenditure,"Meat, poultry and fish",1084,2020
36,Expenditure,"Meat, poultry and fish",1092,2020
37,Expenditure,"Meat, poultry and fish",1085,2020
38,Expenditure,"Meat, poultry and fish",1079,2021
39,Expenditure,"Meat, poultry and fish",1080,2021
40,Expenditure,"Meat, poultry and fish",1115,2021
41,Expenditure,"Meat, poultry and fish",1124,2021
42,Expenditure,"Meat, poultry and fish",1161,2022
43,Expenditure,"Meat, poultry and fish",1161,2022
44,Expenditure,"Meat, poultry and fish",1193,2022
45,Expenditure,Grocery food,997,2019
46,Expenditure,Grocery food,997,2019
47,Expenditure,Grocery food,1004,2019
48,Expenditure,Grocery food,1007,2019
49,Expenditure,Grocery food,1028,2020
50,Expenditure,Grocery food,1033,2020
51,Expenditure,Grocery food,1018,2020
52,Expenditure,Grocery food,1015,2020
53,Expenditure,Grocery food,1023,2021
54,Expenditure,Grocery food,1029,2021
55,Expenditure,Grocery food,1045,2021
56,Expenditure,Grocery food,1059,2021
57,Expenditure,Grocery food,1085,2022
58,Expenditure,Grocery food,1107,2022
59,Expenditure,Grocery food,1129,2022
60,Expenditure,Non-alcoholic beverages,1026,2019
61,Expenditure,Non-alcoholic beverages,1030,2019
62,Expenditure,Non-alcoholic beverages,1047,2019
63,Expenditure,Non-alcoholic beverages,1032,2019
64,Expenditure,Non-alcoholic beverages,1052,2020
65,Expenditure,Non-alcoholic beverages,1053,2020
66,Expenditure,Non-alcoholic beverages,1052,2020
67,Expenditure,Non-alcoholic beverages,1045,2020
68,Expenditure,Non-alcoholic beverages,1049,2021
69,Expenditure,Non-alcoholic beverages,1046,2021
70,Expenditure,Non-alcoholic beverages,1054,2021
71,Expenditure,Non-alcoholic beverages,1051,2021
72,Expenditure,Non-alcoholic beverages,1074,2022
73,Expenditure,Non-alcoholic beverages,1085,2022
74,Expenditure,Non-alcoholic beverages,1104,2022
75,Expenditure,Restaurant meals and ready-to-eat food,1114,2019
