ID,protocol id,expenditures,index,year
4575,Income,Food,1027,2019
4576,Income,Food,1029,2019
4577,Income,Food,1043,2019
4578,Income,Food,1041,2019
4579,Income,Food,1062,2020
4580,Income,Food,1069,2020
4581,Income,Food,1078,2020
4582,Income,Food,1061,2020
4583,Income,Food,1068,2021
4584,Income,Food,1079,2021
4585,Income,Food,1109,2021
4586,Income,Food,1104,2021
4587,Income,Food,1144,2022
4588,Income,Food,1156,2022
4589,Income,Food,1202,2022
4590,Income,Fruit and vegetables,1065,2019
4591,Income,Fruit and vegetables,1053,2019
4592,Income,Fruit and vegetables,1072,2019
4593,Income,Fruit and vegetables,1033,2019
4594,Income,Fruit and vegetables,1075,2020
4595,Income,Fruit and vegetables,1108,2020
4596,Income,Fruit and vegetables,1202,2020
4597,Income,Fruit and vegetables,1096,2020
4598,Income,Fruit and vegetables,1111,2021
4599,Income,Fruit and vegetables,1158,2021
4600,Income,Fruit and vegetables,1262,2021
4601,Income,Fruit and vegetables,1162,2021
4602,Income,Fruit and vegetables,1286,2022
4603,Income,Fruit and vegetables,1266,2022
4604,Income,Fruit and vegetables,1446,2022
4605,Income,"Meat, poultry and fish",1029,2019
4606,Income,"Meat, poultry and fish",1034,2019
4607,Income,"Meat, poultry and fish",1066,2019
4608,Income,"Meat, poultry and fish",1083,2019
4609,Income,"Meat, poultry and fish",1100,2020
4610,Income,"Meat, poultry and fish",1084,2020
4611,Income,"Meat, poultry and fish",1091,2020
4612,Income,"Meat, poultry and fish",1085,2020
4613,Income,"Meat, poultry and fish",1079,2021
4614,Income,"Meat, poultry and fish",1080,2021
4615,Income,"Meat, poultry and fish",1112,2021
4616,Income,"Meat, poultry and fish",1120,2021
4617,Income,"Meat, poultry and fish",1156,2022
4618,Income,"Meat, poultry and fish",1157,2022
4619,Income,"Meat, poultry and fish",1186,2022
4620,Income,Grocery food,996,2019
4621,Income,Grocery food,997,2019
4622,Income,Grocery food,1003,2019
4623,Income,Grocery food,1006,2019
4624,Income,Grocery food,1025,2020
4625,Income,Grocery food,1030,2020
4626,Income,Grocery food,1015,2020
4627,Income,Grocery food,1013,2020
4628,Income,Grocery food,1021,2021
4629,Income,Grocery food,1026,2021
4630,Income,Grocery food,1041,2021
4631,Income,Grocery food,1055,2021
4632,Income,Grocery food,1082,2022
4633,Income,Grocery food,1102,2022
4634,Income,Grocery food,1124,2022
4635,Income,Non-alcoholic beverages,1024,2019
4636,Income,Non-alcoholic beverages,1028,2019
4637,Income,Non-alcoholic beverages,1045,2019
4638,Income,Non-alcoholic beverages,1028,2019
4639,Income,Non-alcoholic beverages,1048,2020
4640,Income,Non-alcoholic beverages,1047,2020
4641,Income,Non-alcoholic beverages,1045,2020
